Date,search_volume
2020-01-01,83
2020-01-02,100
2020-01-03,91
2020-01-04,121
2020-01-05,106
2020-01-06,112
2020-01-07,164
2020-01-08,161
2020-01-09,145
2020-01-10,72
2020-01-11,134
2020-01-12,95
2020-01-13,106
2020-01-14,178
2020-01-15,156
2020-01-16,159
2020-01-17,138
2020-01-18,94
2020-01-19,98
2020-01-20,150
2020-01-21,113
2020-01-22,114
2020-01-23,76
2020-01-24,83
2020-01-25,86
2020-01-26,101
2020-01-27,108
2020-01-28,139
2020-01-29,155
2020-01-30,140
2020-01-31,119
2020-02-01,119
2020-02-02,122
2020-02-03,143
2020-02-04,137
2020-02-05,127
2020-02-06,167
2020-02-07,134
2020-02-08,142
2020-02-09,151
2020-02-10,144
2020-02-11,128
2020-02-12,157
2020-02-13,169
2020-02-14,126
2020-02-15,180
2020-02-16,140
2020-02-17,134
2020-02-18,148
2020-02-19,113
2020-02-20,128
2020-02-21,111
2020-02-22,116
2020-02-23,128
2020-02-24,101
2020-02-25,92
2020-02-26,185
2020-02-27,142
2020-02-28,103
2020-02-29,140
2020-03-01,37
2020-03-02,52
2020-03-03,54
2020-03-04,51
2020-03-05,49
2020-03-06,56
2020-03-07,56
2020-03-08,65
2020-03-09,88
2020-03-10,61
2020-03-11,77
2020-03-12,124
2020-03-13,165
2020-03-14,120
2020-03-15,95
2020-03-16,152
2020-03-17,112
2020-03-18,88
2020-03-19,128
2020-03-20,129
2020-03-21,88
2020-03-22,86
2020-03-23,77
2020-03-24,59
2020-03-25,78
2020-03-26,81
2020-03-27,57
2020-03-28,91
2020-03-29,75
2020-03-30,67
2020-03-31,67
2020-04-01,132
2020-04-02,154
2020-04-03,157
2020-04-04,144
2020-04-05,125
2020-04-06,139
2020-04-07,150
2020-04-08,181
2020-04-09,164
2020-04-10,146
2020-04-11,114
2020-04-12,142
2020-04-13,161
2020-04-14,124
2020-04-15,136
2020-04-16,117
2020-04-17,107
2020-04-18,156
2020-04-19,152
2020-04-20,125
2020-04-21,138
2020-04-22,104
2020-04-23,144
2020-04-24,132
2020-04-25,133
2020-04-26,160
2020-04-27,136
2020-04-28,117
2020-04-29,157
2020-04-30,200
2020-05-01,97
2020-05-02,137
2020-05-03,114
2020-05-04,82
2020-05-05,103
2020-05-06,106
2020-05-07,119
2020-05-08,137
2020-05-09,127
2020-05-10,158
2020-05-11,178
2020-05-12,143
2020-05-13,161
2020-05-14,115
2020-05-15,115
2020-05-16,93
2020-05-17,123
2020-05-18,127
2020-05-19,100
2020-05-20,90
2020-05-21,115
2020-05-22,89
2020-05-23,130
2020-05-24,117
2020-05-25,86
2020-05-26,84
2020-05-27,86
2020-05-28,90
2020-05-29,104
2020-05-30,106
2020-05-31,105
2020-06-01,117
2020-06-02,182
2020-06-03,130
2020-06-04,200
2020-06-05,156
2020-06-06,113
2020-06-07,117
2020-06-08,143
2020-06-09,140
2020-06-10,165
2020-06-11,155
2020-06-12,123
2020-06-13,102
2020-06-14,137
2020-06-15,148
2020-06-16,116
2020-06-17,120
2020-06-18,109
2020-06-19,118
2020-06-20,125
2020-06-21,97
2020-06-22,96
2020-06-23,103
2020-06-24,148
2020-06-25,111
2020-06-26,96
2020-06-27,101
2020-06-28,152
2020-06-29,118
2020-06-30,133
2020-07-01,102
2020-07-02,83
2020-07-03,99
2020-07-04,122
2020-07-05,93
2020-07-06,73
2020-07-07,127
2020-07-08,98
2020-07-09,88
2020-07-10,110
2020-07-11,94
2020-07-12,113
2020-07-13,100
2020-07-14,90
2020-07-15,73
2020-07-16,105
2020-07-17,84
2020-07-18,139
2020-07-19,99
2020-07-20,81
2020-07-21,104
2020-07-22,94
2020-07-23,121
2020-07-24,102
2020-07-25,87
2020-07-26,103
2020-07-27,158
2020-07-28,157
2020-07-29,175
2020-07-30,143
2020-07-31,154
2020-08-01,190
2020-08-02,179
2020-08-03,144
2020-08-04,123
2020-08-05,147
2020-08-06,157
2020-08-07,169
2020-08-08,123
2020-08-09,137
2020-08-10,163
2020-08-11,154
2020-08-12,151
2020-08-13,171
2020-08-14,121
2020-08-15,114
2020-08-16,146
2020-08-17,157
2020-08-18,162
2020-08-19,121
2020-08-20,158
2020-08-21,104
2020-08-22,130
2020-08-23,122
2020-08-24,142
2020-08-25,94
2020-08-26,122
2020-08-27,109
